5.500000000000000444e-01 1.328999999999999959e+00 6.899999999999999667e-04 8.799999999999999489e-02
6.499999999999999112e-01 9.789999999999999813e-01 5.900000000000000296e-04 8.300000000000000433e-02
7.500000000000000000e-01 6.400000000000000133e-01 5.000000000000000104e-04 9.299999999999999933e-02
8.500000000000000888e-01 4.450000000000000067e-01 4.499999999999999877e-04 6.099999999999999867e-02
9.499999999999999556e-01 2.949999999999999845e-01 3.800000000000000209e-04 3.400000000000000244e-02
1.050000000000000044e+00 2.069999999999999896e-01 2.599999999999999772e-04 2.000000000000000042e-02
1.149999999999999911e+00 1.499999999999999944e-01 1.600000000000000131e-04 1.700000000000000122e-02
1.250000000000000000e+00 1.010000000000000064e-01 2.200000000000000078e-04 1.000000000000000021e-02
1.350000000000000089e+00 7.149999999999999412e-02 1.800000000000000113e-04 7.100000000000000408e-03
1.449999999999999956e+00 5.000000000000000278e-02 1.399999999999999877e-04 4.499999999999999660e-03
1.550000000000000044e+00 3.749999999999999861e-02 1.299999999999999886e-04 4.300000000000000003e-03
1.649999999999999911e+00 2.520000000000000018e-02 1.100000000000000039e-04 2.599999999999999881e-03
1.750000000000000000e+00 1.909999999999999892e-02 9.600000000000000243e-05 1.799999999999999951e-03
1.850000000000000089e+00 1.299999999999999940e-02 7.499999999999999343e-05 1.500000000000000031e-03
1.949999999999999956e+00 9.289999999999999647e-03 6.999999999999999387e-05 9.200000000000000278e-04
2.100000000000000089e+00 5.830000000000000113e-03 4.199999999999999768e-05 5.900000000000000296e-04
2.299999999999999822e+00 3.310000000000000008e-03 3.399999999999999973e-05 3.800000000000000209e-04
2.500000000000000000e+00 1.610000000000000103e-03 2.699999999999999899e-05 2.100000000000000087e-04
2.700000000000000178e+00 8.099999999999999561e-04 2.400000000000000061e-05 2.599999999999999772e-04
2.899999999999999911e+00 3.499999999999999964e-04 7.900000000000000595e-06 1.100000000000000039e-04
3.250000000000000000e+00 1.489999999999999897e-04 1.799999999999999919e-06 2.300000000000000002e-05
4.000000000000000000e+00 3.070000000000000083e-05 1.500000000000000038e-06 6.700000000000000226e-06
