-3.375	395	18	-18
-3.125	410	18	-18
-2.875	422	19	-19
-2.625	437	20	-20
-2.375	447	20	-20
-2.125	455	20	-20
-1.875	461	20	-20
-1.625	457	13	-13
-1.375	456	13	-13
-1.125	451	13	-13
-0.875	446	13	-13
-0.625	434	12	-12
-0.375	428	11	-11
-0.1225	422	11	-11
0.1225	422	11	-11
0.375	428	11	-11
0.625	434	12	-12
0.875	446	13	-13
1.125	451	13	-13
1.375	456	13	-13
1.625	457	13	-13
1.875	461	20	-20
2.125	455	20	-20
2.375	447	20	-20
2.625	437	20	-20
2.875	422	19	-19
3.125	410	18	-18
3.375	395	18	-18
3.625	361	24	-25
3.875	342	23	-23
4.125	320	21	-22
4.375	301	20	-20
4.625	283	19	-19
4.875	265	17	-18
