-4.875	888	39	-39
-4.625	974	41	-41
-4.375	1046	44	-44
-4.125	1128	46	-46
-3.875	1209	50	-50
-3.625	1304	54	-54
-3.375	1388	57	-57
-3.125	1449	59	-59
-2.875	1504	58	-58
-2.625	1578	61	-61
-2.375	1627	62	-62
-2.125	1674	62	-62
-1.875	1709	66	-66
-1.625	1736	64	-64
-1.375	1739	65	-65
-1.125	1699	68	-68
-0.875	1674	46	-46
-0.625	1658	40	-40
-0.375	1627	39	-39
-0.125	1615	39	-39
0.125	1615	39	-39
0.375	1627	39	-39
0.625	1658	40	-40
0.875	1674	46	-46
1.125	1699	68	-68
1.375	1739	65	-65
1.625	1736	64	-64
1.875	1709	66	-66
2.125	1674	62	-62
2.375	1627	62	-62
2.625	1578	61	-61
2.875	1504	58	-58
3.125	1449	59	-59
3.375	1388	57	-57
3.625	1304	54	-54
3.875	1209	50	-50
4.125	1128	46	-46
4.375	1046	44	-44
4.625	974	41	-41
4.875	888	39	-39
5.125	770	42	-42
5.375	667	39	-39
