-3.375	246	11	-11
-3.125	255	11	-11
-2.875	262	12	-12
-2.625	271	12	-12
-2.375	276	12	-12
-2.125	280	13	-13
-1.875	283	12	-12
-1.625	278.6	8.2	-8.2
-1.375	279.2	8.2	-8.2
-1.125	276.5	8.1	-8.1
-0.875	269.9	7.9	-7.9
-0.625	266.9	7.3	-7.3
-0.375	261.8	6.5	-6.5
-0.1225	259.1	6.5	-6.5
0.1225	259.1	6.5	-6.5
0.375	261.8	6.5	-6.5
0.625	266.9	7.3	-7.3
0.875	269.9	7.9	-7.9
1.125	276.5	8.1	-8.1
1.375	279.2	8.2	-8.2
1.625	278.6	8.2	-8.2
1.875	283	12	-12
2.125	280	13	-13
2.375	276	12	-12
2.625	271	12	-12
2.875	262	12	-12
3.125	255	11	-11
3.375	246	11	-11
3.625	225	15	-15
3.875	213	14	-14
4.125	200	13	-14
4.375	188	12	-13
4.625	177	12	-12
4.875	167	11	-11
