-4.875	559	29	-29
-4.625	615	31	-31
-4.375	656	32	-32
-4.125	705	33	-33
-3.875	754	36	-36
-3.625	812	39	-39
-3.375	862	42	-42
-3.125	899	43	-43
-2.875	928	44	-44
-2.625	969	45	-45
-2.375	998	45	-45
-2.125	1022	44	-44
-1.875	1048	46	-46
-1.625	1062	47	-47
-1.375	1064	47	-47
-1.125	1026	46	-46
-0.875	1014	28	-28
-0.625	1006	24	-24
-0.375	991	24	-24
-0.125	982	24	-24
0.125	982	24	-24
0.375	991	24	-24
0.625	1006	24	-24
0.875	1014	28	-28
1.125	1026	46	-46
1.375	1064	47	-47
1.625	1062	47	-47
1.875	1048	46	-46
2.125	1022	44	-44
2.375	998	45	-45
2.625	969	45	-45
2.875	928	44	-44
3.125	899	43	-43
3.375	862	42	-42
3.625	812	39	-39
3.875	754	36	-36
4.125	705	33	-33
4.375	656	32	-32
4.625	615	31	-31
4.875	559	29	-29
5.125	491	37	-37
5.375	451	29	-29
