-4.875	744	34	-34
-4.625	807	35	-35
-4.375	861	37	-37
-4.125	929	39	-39
-3.875	1001	43	-43
-3.625	1072	46	-46
-3.375	1144	49	-49
-3.125	1196	51	-51
-2.875	1243	51	-51
-2.625	1298	52	-52
-2.375	1333	54	-54
-2.125	1361	54	-54
-1.875	1393	58	-58
-1.625	1422	56	-56
-1.375	1418	56	-56
-1.125	1380	58	-58
-0.875	1362	37	-37
-0.625	1338	32	-32
-0.375	1330	32	-32
-0.125	1318	32	-32
0.125	1318	32	-32
0.375	1330	32	-32
0.625	1338	32	-32
0.875	1362	37	-37
1.125	1380	58	-58
1.375	1418	56	-56
1.625	1422	56	-56
1.875	1393	58	-58
2.125	1361	54	-54
2.375	1333	54	-54
2.625	1298	52	-52
2.875	1243	51	-51
3.125	1196	51	-51
3.375	1144	49	-49
3.625	1072	46	-46
3.875	1001	43	-43
4.125	929	39	-39
4.375	861	37	-37
4.625	807	35	-35
4.875	744	34	-34
5.125	651	39	-39
5.375	577	35	-35
