#: table_doi: 10.17182/hepdata.62026.v1/t25
#: name: Table 25
#: description: v4{SP,Deltaeta=0.2} (red filled squares).

#: data_file: Table25.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(DELTA(ETA)),> 0.2
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','v4{SP,Deltaeta=0.2} (red filled squares)','error +','error -'
0.25,0.001858,0.000955,-0.000955
0.35,0.00295,0.000951,-0.000951
0.45,0.003658,0.001013,-0.001013
0.55,0.005777,0.001098,-0.001098
0.65,0.008362,0.001204,-0.001204
0.75,0.012289,0.001326,-0.001326
0.85,0.012218,0.001472,-0.001472
0.95,0.012171,0.001634,-0.001634
1.1,0.017361,0.001341,-0.001341
1.3,0.020719,0.001641,-0.001641
1.5,0.024185,0.002016,-0.002016
1.7,0.030187,0.002476,-0.002476
1.9,0.037104,0.003059,-0.003059
2.1,0.042695,0.00375,-0.00375
2.3,0.050235,0.004616,-0.004616
2.6,0.056076,0.004365,-0.004365
3.0,0.075308,0.006467,-0.006467
3.5,0.080679,0.00839,-0.00839
4.1,0.090205,0.014154,-0.014154
4.7,0.07776,0.022657,-0.022657

