0.55 - 0.6 0.414±2.7E-04±0.043 1.33±5.0E-04±0.14 2.65±9.8E-04±0.28
0.65 - 0.7 0.302±2.4E-04±0.027 1.056±4.5E-04±0.092 2.16±9.2E-04±0.19
0.75 - 0.8 0.224±2.1E-04±0.023 0.833±4.0E-04±0.081 1.76±8.2E-04±0.18
0.85 - 0.9 0.160±1.2E-04±0.015 0.629±2.5E-04±0.059 1.38±5.2E-04±0.12
0.95 - 1.0 0.114±1.0E-04±0.011 0.469±2.1E-04±0.046 1.057±4.5E-04±0.096
1.05 - 1.1 0.0798±8.6E-05±0.0071 0.340±1.8E-04±0.032 0.788±3.8E-04±0.079
1.15 - 1.2 0.0550±7.1E-05±0.0056 0.245±1.5E-04±0.023 0.583±3.3E-04±0.054
1.25 - 1.3 0.0374±6.0E-05±0.0040 0.174±1.3E-04±0.017 0.429±2.8E-04±0.040
1.35 - 1.4 0.0254±5.0E-05±0.0025 0.123±1.1E-04±0.012 0.308±2.5E-04±0.031
1.45 - 1.5 0.0174±4.3E-05±0.0020 0.0873±9.7E-05±0.0091 0.223±2.2E-04±0.024
1.55 - 1.6 0.0118±3.8E-05±0.0012 0.0617±8.4E-05±0.0057 0.159±1.9E-04±0.017
1.65 - 1.7 0.00818±3.2E-05±7.8E-04 0.0431±7.2E-05±0.0048 0.114±1.7E-04±0.011
1.75 - 1.8 0.00548±2.6E-05±5.5E-04 0.0298±6.0E-05±0.0034 0.0797±1.4E-04±0.0080
1.85 - 1.9 0.00376±2.2E-05±3.9E-04 0.0209±5.0E-05±0.0021 0.0562±1.1E-04±0.0054
1.95 - 2.0 0.00252±1.7E-05±2.7E-04 0.0145±4.1E-05±0.0014 0.0394±9.3E-05±0.0039
2.10 - 2.2 0.00141±1.3E-05±1.6E-04 0.00842±3.1E-05±8.3E-04 0.0232±7.1E-05±0.0021
2.30 - 2.4 6.39E-04±8.5E-06±6.3E-05 0.00406±2.1E-05±4.0E-04 0.0114±4.9E-05±0.0012
2.50 - 2.6 3.10E-04±5.4E-06±2.8E-05 0.00188±1.4E-05±1.7E-04 0.00544±3.3E-05±5.6E-04
2.70 - 2.8 1.34E-04±3.8E-06±1.3E-05 9.40E-04±1.0E-05±9.3E-05 0.00264±2.3E-05±2.6E-04
2.90 - 3.0 6.54E-05±2.4E-06±9.7E-06 4.49E-04±6.6E-06±5.6E-05 0.00128±1.6E-05±1.6E-04
3.25 - 3.5 1.93E-05±1.3E-06±3.4E-06 1.42E-04±4.1E-06±2.0E-05 4.34E-04±9.4E-06±5.7E-05
