0.55    31.4  0.0035  2.6
0.65    18.9  0.0027  1.5
0.75    11.63  0.0022  0.88
0.85    7.15  0.0018  0.59
0.95    4.42  0.0014  0.37
1.05    2.74  0.0012  0.24
1.15    1.72  9.3E-04  0.15
1.25    1.10  7.6E-04  0.11
1.35    0.699  6.3E-04  0.078
1.45    0.453  5.3E-04  0.046
1.55    0.291  4.4E-04  0.028
1.65    0.189  3.7E-04  0.019
1.75    0.122  3.0E-04  0.013
1.85    0.0813  2.4E-04  0.0083
1.95    0.0536  2.0E-04  0.0056
2.10    0.0296  1.5E-04  0.0028
2.30    0.0134  9.9E-05  0.0013
2.50    0.00607  6.6E-05  6.2E-04
2.70    0.00249  4.7E-05  3.3E-04
2.90    0.00108  4.1E-05  1.2E-04
