0.55 3.87±0.0012±0.39
0.65 3.26±0.0011±0.30
0.75 2.71±0.0010±0.24
0.85 2.17±6.5E-04±0.21
0.95.70±5.7E-04±0.14
1.05 1.29±4.9E-04±0.11
1.15 0.963±4.2E-04±0.090
1.25 0.714±3.7E-04±0.061
1.35 0.525±3.2E-04±0.044
1.45 0.383±2.8E-04±0.039
1.55 0.276±2.5E-04±0.027
1.65 0.197±2.1E-04±0.020
1.75 0.140±1.8E-04±0.014
1.85 0.0988±1.5E-04±0.0097
1.95 0.0701±1.3E-04±0.0066
2.10 0.0412±9.5E-05±0.0037
2.30 0.0201±6.5E-05±0.0020
2.50 0.00997±4.5E-05±8.9E-04
2.70 0.00494±3.1E-05±4.7E-04
2.90 0.00235±2.2E-05±2.8E-04
3.25 7.60E-04±1.3E-05±9.7E-05
