#: table_doi: 10.17182/hepdata.72886.v2/t3
#: name: Table 3
#: description: Centrality dependence of $v_2$, with two- and multi-particle correlations, integrated over the $p_{\rm T}$ range 0.2 < $p_{\rm T}$ < 5.0 GeV/c, at $\sqrt{s_{\rm NN}}$ = 2.76 TeV.

#: data_file: Table3.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2076.0
#: PT [GeV c^-1],,,0.2-5.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: SQRT(S)/NUCLEON [GeV],,,2076.0
'CENTRALITY [PCT]','CENTRALITY [PCT] LOW','CENTRALITY [PCT] HIGH','V2{2, |DELTAETA|>1}','stat +','stat -','sys +','sys -'
2.5,0.0,5.0,0.02724,0.00012,-0.00012,0.00068,-0.00068
7.5,5.0,10.0,0.04457,0.00017,-0.00017,0.00111,-0.00111
15.0,10.0,20.0,0.06403,0.00015,-0.00015,0.0016,-0.0016
25.0,20.0,30.0,0.08314,0.0001,-0.0001,0.00133,-0.00133
35.0,30.0,40.0,0.09461,0.00016,-0.00016,0.00151,-0.00151
45.0,40.0,50.0,0.09941,0.00023,-0.00023,0.00159,-0.00159
55.0,50.0,60.0,0.09759,0.00039,-0.00039,0.00156,-0.00156
65.0,60.0,70.0,0.09003,0.00046,-0.00046,0.00144,-0.00144
75.0,70.0,80.0,0.07652,0.00203,-0.00203,0.00122,-0.00122

#: PT [GeV c^-1],,,0.2-5.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: SQRT(S)/NUCLEON [GeV],,,2076.0
'CENTRALITY [PCT]','CENTRALITY [PCT] LOW','CENTRALITY [PCT] HIGH','V2{4}','stat +','stat -','sys +','sys -'
2.5,0.0,5.0,'-',0,0,0,0
7.5,5.0,10.0,0.0353,0.0001,-0.0001,0.00081,-0.00081
15.0,10.0,20.0,0.05674,9e-05,-9e-05,0.00131,-0.00131
25.0,20.0,30.0,0.07464,0.00011,-0.00011,0.00172,-0.00172
35.0,30.0,40.0,0.08397,0.00014,-0.00014,0.00193,-0.00193
45.0,40.0,50.0,0.08514,0.00027,-0.00027,0.00196,-0.00196
55.0,50.0,60.0,0.0797,0.00053,-0.00053,0.00183,-0.00183
65.0,60.0,70.0,0.06897,0.00229,-0.00229,0.00159,-0.00159
75.0,70.0,80.0,'-',0,0,0,0

