#: table_doi: 10.17182/hepdata.72886.v2/t8
#: name: Table 8
#: description: $p_{\rm T}$ dependence of $v_2$, $v_3$ and $v_4$ for centrality 30-40%.

#: data_file: Table8.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2 | V3 | V4
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 5023.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,30.0-40.0
#: SQRT(S)/NUCLEON [GeV],,,5023.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V2{2, |DELTAETA|>1}','stat +','stat -','sys +','sys -'
0.30000000000000004,0.2,0.4,0.0477,0.0007,-0.0007,0.0014,-0.0014
0.5,0.4,0.6,0.0771,0.0007,-0.0007,0.0023,-0.0023
0.7,0.6,0.8,0.1024,0.0007,-0.0007,0.0031,-0.0031
0.9,0.8,1.0,0.1249,0.0016,-0.0016,0.0037,-0.0037
1.125,1.0,1.25,0.144,0.0021,-0.0021,0.0017,-0.0017
1.375,1.25,1.5,0.1695,0.0019,-0.0019,0.002,-0.002
1.625,1.5,1.75,0.192,0.0035,-0.0035,0.0023,-0.0023
1.875,1.75,2.0,0.2068,0.0022,-0.0022,0.0025,-0.0025
2.25,2.0,2.5,0.2225,0.0022,-0.0022,0.0027,-0.0027
2.75,2.5,3.0,0.2395,0.0041,-0.0041,0.0029,-0.0029
3.25,3.0,3.5,0.2494,0.0027,-0.0027,0.003,-0.003
3.75,3.5,4.0,0.2448,0.0096,-0.0096,0.003,-0.003
4.5,4.0,5.0,0.198,0.0082,-0.0082,0.0024,-0.0024

#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,30.0-40.0
#: SQRT(S)/NUCLEON [GeV],,,5023.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V3{2, |DELTAETA|>1}','stat +','stat -','sys +','sys -'
0.30000000000000004,0.2,0.4,0.011,0.0014,-0.0014,0.0002,-0.0002
0.5,0.4,0.6,0.0241,0.0016,-0.0016,0.0005,-0.0005
0.7,0.6,0.8,0.0346,0.0023,-0.0023,0.0007,-0.0007
0.9,0.8,1.0,0.0428,0.0017,-0.0017,0.0008,-0.0008
1.125,1.0,1.25,0.0518,0.0025,-0.0025,0.001,-0.001
1.375,1.25,1.5,0.0636,0.0028,-0.0028,0.0012,-0.0012
1.625,1.5,1.75,0.0747,0.0041,-0.0041,0.0014,-0.0014
1.875,1.75,2.0,0.0856,0.0055,-0.0055,0.0016,-0.0016
2.25,2.0,2.5,0.1015,0.0062,-0.0062,0.0019,-0.0019
2.75,2.5,3.0,0.1056,0.0071,-0.0071,0.002,-0.002
3.25,3.0,3.5,0.1351,0.0036,-0.0036,0.0026,-0.0026
3.75,3.5,4.0,0.1191,0.0153,-0.0153,0.0023,-0.0023
4.5,4.0,5.0,0.102,0.0196,-0.0196,0.0019,-0.0019

#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,30.0-40.0
#: SQRT(S)/NUCLEON [GeV],,,5023.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V4{2, |DELTAETA|>1}','stat +','stat -','sys +','sys -'
0.30000000000000004,0.2,0.4,0.0046,0.0038,-0.0038,0.0001,-0.0001
0.5,0.4,0.6,0.0063,0.0032,-0.0032,0.0001,-0.0001
0.7,0.6,0.8,0.0188,0.0056,-0.0056,0.0004,-0.0004
0.9,0.8,1.0,0.0148,0.0062,-0.0062,0.0003,-0.0003
1.125,1.0,1.25,0.0301,0.0078,-0.0078,0.0006,-0.0006
1.375,1.25,1.5,0.0512,0.0088,-0.0088,0.001,-0.001
1.625,1.5,1.75,0.0591,0.0142,-0.0142,0.0011,-0.0011
1.875,1.75,2.0,0.0648,0.0119,-0.0119,0.0012,-0.0012
2.25,2.0,2.5,0.0889,0.0123,-0.0123,0.0017,-0.0017
2.75,2.5,3.0,0.1037,0.0143,-0.0143,0.002,-0.002
3.25,3.0,3.5,0.0654,0.023,-0.023,0.0012,-0.0012
3.75,3.5,4.0,0.0886,0.0439,-0.0439,0.0017,-0.0017
4.5,4.0,5.0,0.0814,0.0555,-0.0555,0.0015,-0.0015

